Souce:  Handshake export,,,,,,,,,,,,,,,,,,,,,
Employer ID,Employer Name,Employer Industry,Description,Website,Division,Employment Types,Jobs on Handshake,Job Titles,Majors,Major Groups,Combined Majors,Job Types,School Years,US work authorization required?,Accepts OPT/CPT candidates?,Willing to sponsor candidate?,Does your company have an Indiana facility?,Is your company headquartered in Indiana?,Is your employer a Third Party Recruiter/Staffing Agency?,Does your employer hire freshmen for summer internships?,Is this your employer's first fair to attend at Rose-Hulman?
12809,Bowen Engineering Corporation,Construction,"Bowen is a national construction company that works primarily in the Water, Wastewater, Industrial and Energy sectors. Regularly listed as one of ENR's top 50 environmental contractors, Bowen works on projects that improve the quality of the air we breathe and the water we use every day. When you turn on the faucet, flush the toilet or flip the light switch - you are using the infrastructure that Bowen builds and maintains every day.  Bowen self-performs site work, concrete, underground utility work, structural steel, equipment setting, millwright, mechanical and process piping and boilermaker construction. ",http://www.bowenengineering.com/,,,Field Engineer Intern/Co-Op (Spring 2026),Field Engineer Intern/Co-Op (Spring 2026),,"Civil/Environmental Engineering, Construction Engineering, Mechanical Engineering","Civil Engineering, Engineering Design, Engineering Management (MS), Environmental Engineering, Environmental Engineering (MS), Mechanical Engineering","Cooperative Education, Internship","Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,Yes,No,Yes,No
36933,Kimley-Horn,Civil Engineering,"Ranked as one of Fortune Magazineâ€™s â€œ100 Best Companies to Work For,"" Kimley-Horn prides itself on hiring high-achieving, dedicated, and reliable professionals. With staff in over 100 offices nationwide, we are one of the nation's premier engineering planning and design consulting firms. We offer services to the private and public sectors in a wide range of disciplines including land development, transportation planning, traffic operations, roadway design, structures and parking services, water resources, environmental, aviation, wireless communications, transit and intelligent transportation systems, urban redevelopment, and landscape architecture.

Interested in learning more?  Follow the link below to find out when we will be visiting a campus near you!

Check it out: https://kimleyhorn.yello.co/external/events_central",http://www.kimley-horn.com,Mid-West,"Full-Time, Part-Time",,None,,,,"Cooperative Education, Internship, Job","Masters, Senior, Junior, Sophomore",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
864569,"Lynch, Harrison & Brumleve, Inc.",Civil Engineering,"Lynch, Harrison & Brumleve, Inc. is a full-service structural engineering firm located in downtown Indianapolis specializing in the design of building structures since 1959. LHB strives to provide quality and efficient structural design to its clients, on time and within budget. LHB provides leadership to its clients and fulfills client needs with energy, enthusiasm, creativity, and accuracy.  ",https://lhb-eng.com,,"Full-Time, Part-Time",,"Engineering Intern, Project Engineer I",,Civil/Environmental Engineering,"Civil Engineering, Environmental Engineering, Environmental Engineering (MS)","Internship, Job","Masters, Senior, Junior, Sophomore, Freshman",TRUE,TRUE,FALSE,Yes,Yes,No,Yes,No
169016,LJA Engineering,Civil Engineering,"LJA offers positions that will allow you to develop a strong career foundation, expand your base skills into a larger repertoire of technical tools across multiple disciplines, and be assigned project roles that best fit your interests, drive, and skills. The structure of our organization is designed to maximize your development through peer learning, communication & organization enhancement courses, mentor programs, and diverse discipline opportunities, resulting in advancement specific to your individual performance. When the time comes, LJA will assist you with your preparation for the PE Exam by covering the costs of a one-time prep class and pay for the annual license renewal once you have it.Â 

At LJA, youâ€™ll experience a culture of camaraderie, teamwork, and inclusivity, where you'll be part of something bigger. The culture is sustained by a team of individuals who promote mutual support and encouragement, fostering an environment conducive to achieving personal excellence.",https://www.lja.com/early-careers/,LJA Engineering ,"Full-Time, Part-Time",,"Graduate Engineers, Interns",,Civil/Environmental Engineering,"Civil Engineering, Environmental Engineering, Environmental Engineering (MS)","Cooperative Education, Internship, Job","Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,No,No,No,Yes,No
176655,Integrated Mill Systems,Manufacturing,"Integrated Mill Systems (IMS) is a process automation solutions provider. IMS designs, builds, programs, and implements level 1 control systems, primarily in support of the metals producing and processing market, providing a wide range of equipment and services for both new and retrofit projects. We are an award-winning automation company that is passionate about the work we do, takes pride in our project outcomes, and highly values our reputation.",http://www.integratedmillsystems.com,,Full-Time,,Project Engineer,,Electrical Engineering,"Electrical & Computer Engr, Electrical Engineering, Engineering Design","Internship, Job","Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
99178,Indiana Electric Cooperatives,Utilities and Renewable Energy,"Indianaâ€™s 38 electric cooperatives provide electricity and so much more to Hoosiers in 89 of the stateâ€™s 92 counties, making us the second-largest electric provider in the state.  Electric co-ops are not-for-profit utilities that are just as involved in improving their communitiesâ€™ quality of life as they are in providing essential services.",http://IndianaEC.org,,,,None,,,,"Internship, Job",,TRUE,FALSE,FALSE,Yes,Yes,No,Yes,No
55910,The Heritage Group,Other Industries,"The Heritage Group (THG) is a privately held portfolio of companies focused on creating long-term value by building world-class businesses. Under four generations of family ownership, we employ thousands of people around the world, with operations across North America, Europe, and China, in the core industries of Environmental and Remediation, Specialty Chemicals and Fuel Products, and Construction and Materials. We are good, smart, and hardworking people who are working to build a safer, more enriching, and sustainable world by harnessing the power of family.",http://www.thgrp.com,,Full-Time,,None,"Biochemistry, Chemistry","Business Administration & Management, Business Analytics, Chemical Engineering, Civil Engineering Technologies & Technicians, Civil/Environmental Engineering, Conservation, Construction Engineering, Construction Trades, Economics, Entrepreneurship, Environmental Management & Sciences, Finance & Financial Management, Materials Science & Engineering, Mechanical Engineering, Mining and Petroleum Technologies & Technicians, Natural Resource Management, Operations Management","Applied Biology, Applied Optics, Biochemistry, Biochemistry & Molecular Biology, Biochem & Molecular Biology, Biology, Biomathematics, Biomedical Engineering, Chemical Engineering, Chemistry, Civil Engineering, Computational Science, Computer Engineering, Computer Science, Data Science, Economics, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Engineering Management, Engineering Management (MS), Engineering Physics, Environmental Engineering, Environmental Engineering (MS), International Computer Science, International Studies, Mathematics, Mechanical Engineering, Nanoengineering, Optical Engineering, Physics, Software Engineering, Syst. Engr & Mgmt Internat'l",Internship,"Alumni, Masters, Senior, Junior, Sophomore, Freshman",TRUE,TRUE,FALSE,Yes,Yes,No,Yes,No
10240,GAI Consultants,Civil Engineering,"GAI Consultants is a 1100-person engineering and environmental consulting firm with over 60 years of experience delivering innovative engineering solutions. Through engineering expertise and broad, deep knowledge of regulatory processes, we transform ideas into realityÂ® with solutions that make a real difference to our clients...solutions in energy, transportation, real estate, water, municipal, government, and industry.",http://www.gaiconsultants.com/,,"Full-Time, Part-Time",,None,,"Civil/Environmental Engineering, Electrical Engineering, Environmental Management & Sciences, General Engineering, Mechanical Engineering","Civil Engineering, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Environmental Engineering, Environmental Engineering (MS), Mechanical Engineering","Cooperative Education, Internship, Job","Senior, Junior, Sophomore",TRUE,TRUE,TRUE,Yes,No,No,No,No
15783,Reckitt,CPG - Consumer Packaged Goods,"We have a fight on our hands. A fight to make access to the highest quality hygiene, wellness and nourishment a right and not a privilege.

Each of our products is designed to do exactly this. Our well-loved brands have been making a difference to peopleâ€™s daily lives around the world for more than 200 years. Brands including: Durex, Lysol, Clearasil, Queen V, Mucinex, Enfamil, Finish, Resolve, and Vanish.

Weâ€™re a growing global community of over 43,000 people on a journey of transformation and sustainable growth. Together, our success will continue to positively impact communities everywhere, for a healthier planet and a fairer society.

Want to learn more about working with us? Visit reckitt.com/careers.
",https://www.reckitt.com/,,,"2025 Procurement Co-Op, June-December | New Jersey, USA","2025 Procurement Co-Op, June-December | New Jersey, USA",,"Automation Engineering, Chemical Engineering, Chemistry, Electrical Engineering, Food Science, General Engineering, Industrial Engineering, Mechanical Engineering","Applied Biology, Biochemistry, Biochemistry & Molecular Biology, Biochem & Molecular Biology, Biology, Biomedical Engineering, Chemical Engineering, Chemistry, Computational Science, Computer Engineering, Computer Science, Electrical & Computer Engr, Electrical Engineering, Engineering Design, Engineering Management, Engineering Management (MS), International Computer Science, Mechanical Engineering, Software Engineering",Internship,"Senior, Junior, Sophomore",TRUE,TRUE,FALSE,Yes,No,No,Yes,No
621480,Reliable MicroSystems,Scientific and Technical Consulting,"Reliable MicroSystems (Rel-Micro) supports the U.S. military and aerospace industries with design tools and techniques for building integrated circuits for systems where failure in not an option. These circuits are targeted for missions exposed to the effects of natural and man-made radiation â€“ so called â€œRadiation Hardenedâ€ or â€œRad-Hardâ€ integrated circuits. While failures can be inconvenient in commercial microelectronics, they can be devastating in life-critical or mission-critical systems. Rel-Micro engineers have developed tools that allow failures to be discovered, and mitigation techniques developed, before the first part is built or deployed. Once vulnerabilities of a technology are known, Rel-Micro engineers also support critical semiconductor infrastructure needs through system-level, circuit-level, and technology-level design solutions. 

Reliable MicroSystems LLC is a small business registered in the State of Tennessee and located in Franklin. It employs engineers who are internationally known in the military and aerospace microelectronics field, and their design expertise covers every major semiconductor technology node and all the major integrated circuit design environments. The company is presently working with the Defense Threat Reduction Agency, the Office of the Secretary of Defense, the Naval Surface Warfare Center, one university, and several aerospace businesses.   
",https://www.reliablemicrosystems.com,,Full-Time,,Summer Intern Engineer,,,,"Internship, Job","Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior, Junior, Sophomore, Freshman",TRUE,FALSE,FALSE,Yes,No,No,Yes,No
